rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch,joint_true_profile_monotonic,likelihood_mode
0.0,4,8,2,20,0.0,0,oracle,0.0,0.0,0.49375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,0,joint,11.649999999999997,0.0,0.49375,0.3333333333333333,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,0,harp,10.249999999999998,0.0,0.49375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,0,harp_s,10.249999999999998,0.0,0.49375,0.3333333333333333,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,1,oracle,0.0,0.0,0.61875,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,1,joint,6.189999999999998,0.0,0.61875,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,1,harp,5.039999999999999,0.0,0.61875,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,1,harp_s,5.039999999999999,0.0,0.61875,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,2,oracle,0.0,0.0,0.5125,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,2,joint,4.210000000000008,0.0,0.5125,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,2,harp,0.0,0.0,0.5125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,2,harp_s,0.0,0.0,0.5125,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,3,oracle,0.0,0.0,0.66875,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,3,joint,6.0,0.0,0.66875,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,3,harp,4.93,0.0,0.66875,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,3,harp_s,4.93,0.0,0.66875,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,4,oracle,0.0,0.0,0.46875,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,4,joint,3.0,0.0,0.46875,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,4,harp,6.0,0.0,0.46875,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,4,harp_s,6.0,0.0,0.46875,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False,,deterministic-rule
0.0,4,8,2,20,0.0,5,oracle,0.0,0.0,0.575,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False,,deterministic-rule
